Casting No. / Batch No.,Zn,Fe,Si,Cu,In,Mg,Sn,Ti,Cd,Ga,B,Na,Ni,Oth,V,Al(By Diff)
26E0328421,0.0016,0.083,0.075,0.0004,,0.0078,,0.001,,0.0109,0.003,0.0035,0.0025,0.01,0.0082,99.795
26B0322115,0.0018,0.083,0.078,0.0005,,0.0133,,0.0011,,0.0107,0.0024,0.0038,0.0031,0.01,0.0083,99.784
26D0284313,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26D0284415,0.002,0.071,0.065,0.0001,,0.0063,,0.001,,0.0112,0.0024,0.003,0.0026,0.01,0.0079,99.82
26B0314210,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314211,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314212,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0317214,0.0016,0.088,0.061,0.0011,,0.001,,0.0011,,0.011,0.0022,0.0058,0.0031,0.01,0.0094,99.807
26D0275311,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
26D0275312,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
26A0266217,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26A0266218,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26A0267203,0.0016,0.08,0.07,0.0006,,0.0016,,0.0009,,0.0108,0.003,0.0047,0.0023,0.01,0.0097,99.807
26E0318423,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26E0318424,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26E0316438,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26C0260106,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260103,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260107,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260108,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26F0234413,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26F0235319,0.0015,0.073,0.081,0.0005,,0.001,,0.0008,,0.011,0.0026,0.0043,0.0029,0.01,0.0077,99.805
26F0235320,0.0015,0.073,0.081,0.0005,,0.001,,0.0008,,0.011,0.0026,0.0043,0.0029,0.01,0.0077,99.805
26E0296317,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26F0234415,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26F0233302,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26B0284107,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284108,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284109,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26E0300410,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300411,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26F0236437,0.0017,0.074,0.066,0.0007,,0.0015,,0.0006,,0.0109,0.0026,0.0029,0.0023,0.01,0.0083,99.821
26E0298312,0.0017,0.076,0.074,0.0008,,0.0065,,0.0009,,0.0109,0.0025,0.0028,0.0024,0.01,0.0089,99.805
26E0298313,0.0017,0.076,0.074,0.0008,,0.0065,,0.0009,,0.0109,0.0025,0.0028,0.0024,0.01,0.0089,99.805
26E0298314,0.0017,0.076,0.074,0.0008,,0.0065,,0.0009,,0.0109,0.0025,0.0028,0.0024,0.01,0.0089,99.805
26F0233304,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0234304,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26F0234305,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26A0244107,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26A0244108,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26A0244109,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26C0260109,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26E0300301,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0300302,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26E0299430,0.0016,0.085,0.084,0.0005,,0.009,,0.001,,0.0113,0.0024,0.0045,0.0028,0.01,0.0077,99.783
26E0299431,0.0016,0.085,0.084,0.0005,,0.009,,0.001,,0.0113,0.0024,0.0045,0.0028,0.01,0.0077,99.783
26F0234412,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26C0260105,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26F0254311,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254319,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26F0254320,0.0017,0.069,0.062,0.0007,,0.0012,,0.0008,,0.0109,0.0019,0.0031,0.0031,0.01,0.0079,99.83
26B0302106,0.0016,0.088,0.064,0.0006,,0.002,,0.0008,,0.0109,0.0027,0.0047,0.0022,0.01,0.0087,99.808
26B0302107,0.0016,0.088,0.064,0.0006,,0.002,,0.0008,,0.0109,0.0027,0.0047,0.0022,0.01,0.0087,99.808
26B0302108,0.0016,0.088,0.064,0.0006,,0.002,,0.0008,,0.0109,0.0027,0.0047,0.0022,0.01,0.0087,99.808
26B0313208,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0313209,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0313210,0.0016,0.088,0.075,0.0038,,0.0013,,0.0008,,0.011,0.0028,0.0036,0.0026,0.01,0.0081,99.793
26B0314223,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314224,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0314225,0.0017,0.07,0.071,0.0004,,0.005,,0.0009,,0.0107,0.0028,0.0048,0.0034,0.01,0.0093,99.813
26B0284102,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284103,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284203,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26F0237301,0.0016,0.073,0.077,0.0005,,0.0097,,0.0013,,0.0114,0.0028,0.0047,0.0027,0.01,0.0088,99.799
26F0237305,0.0016,0.073,0.077,0.0005,,0.0097,,0.0013,,0.0114,0.0028,0.0047,0.0027,0.01,0.0088,99.799
26A0246101,0.0016,0.068,0.061,0.0006,,0.0009,,0.0007,,0.0112,0.0023,0.0029,0.0027,0.01,0.0084,99.832
26F0238328,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26F0238329,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26F0238330,0.0015,0.068,0.059,0.0005,,0.0022,,0.0007,,0.0107,0.0026,0.0026,0.0022,0.01,0.0089,99.834
26E0301413,0.0015,0.074,0.068,0.0006,,0.001,,0.0008,,0.0111,0.0026,0.004,0.003,0.01,0.0088,99.816
26E0301414,0.0015,0.074,0.068,0.0006,,0.001,,0.0008,,0.0111,0.0026,0.004,0.003,0.01,0.0088,99.816
26E0301415,0.0015,0.074,0.068,0.0006,,0.001,,0.0008,,0.0111,0.0026,0.004,0.003,0.01,0.0088,99.816
26C0260214,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260215,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
